"stage","scenario","tier","metric","estimate","ci_lo","ci_hi","mc_se","n"
"8.2","I-0","Tier1","type1_omnibus (BH 0.05 calibration)",0.0491216624454602,0.033377297452289,0.0717415780940339,0.00966527027289506,500
"8.2","I-0","Tier2","marker_fdp (pooled)",0.90625,0.757815006642212,0.96759903737368,0.0515269763995036,32
"8.2","I-0","Tier3","signal_count_exact",0,0,0.561506080449018,0,3
"8.2","I-0","Tier3","extra_signal_rate",0.056,0.0390253626150581,0.0797452986403841,0.0102824121683582,500
"8.2","I-1","Tier1","locus_detection",0.858,0.824669670678386,0.885871102453487,0.0156099967969247,500
"8.2","I-1","Tier1","signal_recovery",0.636363636363636,0.589818462058901,0.680488273707716,0.0232251049100577,429
"8.2","I-1","Tier1","attribution_exact",0.951048951048951,0.926328277591422,0.967763233021237,0.0104172668833294,429
"8.2","I-1","Tier1","direction_recovery (pattern)",0.974358974358974,0.954674353359,0.985623436871884,0.0076313003234886,429
"8.2","I-1","Tier1","beta_rmse (effect error)",0.0420626245439153,0.0400576769644081,0.0440675721234225,0.00102293243852409,429
"8.2","I-1","Tier2","marker_fdp (pooled)",0.0712742980561555,0.0511981468166157,0.0984063442998572,0.011956930673424,463
"8.2","I-1","Tier3","signal_count_exact",0.948717948717949,0.923577384598293,0.965893498052543,0.0106493378870269,429
"8.2","I-1","Tier3","extra_signal_rate",0.0546666666666667,0.0379237392533557,0.0782005876515022,0.0101664371558794,500
"8.2","I-2","Tier1","locus_detection",0.872,0.839853671773803,0.898473612039205,0.0149409504383088,500
"8.2","I-2","Tier1","signal_recovery",0,0,0.00873405335011513,0,436
"8.2","I-2","Tier1","secondary_recovery (evaluator)",0.83,0.794587606259303,0.860380145510301,0.016798809481627,500
"8.2","I-2","Tier1","full_recovery (strict matching)",0.778,0.739529475664778,0.81223123643204,0.0185858010319706,500
"8.2","I-2","Tier1","secondary_recovery (strict matching)",0.778,0.739529475664778,0.81223123643204,0.0185858010319706,500
"8.2","I-2","Tier1","attribution_exact",0.814220183486238,0.775024508332603,0.847927026947371,0.0186263153768549,436
"8.2","I-2","Tier1","direction_recovery (pattern)",0.819954128440367,0.781142804293746,0.853176459732212,0.0184010716988185,436
"8.2","I-2","Tier1","beta_rmse (effect error)",0.0612091089916512,0.0587024937636146,0.0637157242196879,0.00127888532042687,436
